filename,document_id,classification,category,word_count,page_count,dates,project_names,persons,organizations,locations
CIA-RDP96-00787R000100250011-4.txt,CIA-RDP96-00787R000100250011-4,SECRET,administrative,612,1,00/08/10|30 September 1977|25 April 1977|15 July 1978|28 February 1978,,"Pad ra|Arlene G. Snyder|Harry L. Snyder|st tt

EXEMPT FROM GENERAL","Ph.D.
Research Associate Corporate Scientist|PARA|CIRCLE|AUTOMATICALLY|Release|IMRBPYCREIRD|Post Office Drawer S|Systemetrics|CIA",prc|Blacksburg|Virginia|Sponsor|U.S.
CIA-RDP96-00787R000100250012-3.txt,CIA-RDP96-00787R000100250012-3,,research_report,1865,3,15 August 1974|00/08/10|14 January 1976,,"R. H.|Bartlett|L. E.|J. B. Field|Douglas, A. Extra-sensory|Victor Gollancz|Foster|J. G. Enquiry|Geller|C. Qut-of-the-","CIA|lLondon|Reader's
Digest|IEEE Intercon Technical Paper|Stationery Office|The American St. Hill Organization|The American St. Hill
Organization|Koestler, A. Roots|Random House|Electronics World",London|England|Scientology|New York|New York:|Holroyd|Garden City|N.Y.|Doubleday|Los Angeles
CIA-RDP96-00787R000100250013-2.txt,CIA-RDP96-00787R000100250013-2,,experiment_results,1817,3,03/04/48|21 September 1977|03/04/18,,I. Allen|S.|Cohen|Goolsby|C.|Morris|R. L.|W. G. Roll|R. L. Morris|N. J.:,"Release|Systemetrics|SRI|J. D. Morris|Ed|Research|RLM|CIA|Systemetrics, Inc.|Post Office Drawer S",Green|Rucker|Metuchen|pp|Blacksburg|Virginia|Bisaha|Washington|D.C.|Chicago
CIA-RDP96-00787R000100250019-6.txt,CIA-RDP96-00787R000100250019-6,SECRET,administrative,258,1,00/08/10,,"Harry L. Snyder

Subject|§ SBCA","CIA|Systemetrics, Inc.
|Post Office Drawer|Contractor|Octoher 1978|OG|SECURITY|SG1I
Contracting Officer|SYSTEMETRICS|THC",Blacksburg|VA
CIA-RDP96-00787R000100250021-3.txt,CIA-RDP96-00787R000100250021-3,,research_report,8040,16,00/08/10,,"Harry L. Snyder

SGFOIA3

Brown University|Anam|S. H.|H. L.|W. EF|S. Hl|W. E.,|S. H. Saccharine|H. L. Saccharine|R. G.","CIA|The Johns Hopkins University|Johns Hopkins University|Brown University|Graduate|The Johns Hopkins University
Instructor, Peabody Institute|Instructor|Colgate University|California State College|University of Southern California Institute of
Aerospace Operations Management

Associate Professor",Baltimore|Maryland|Blacksburg|Virginia|Autoneclics|Anaheim|California|Autonetics|Seattle|Downev
CIA-RDP96-00787R000100260002-3.txt,CIA-RDP96-00787R000100260002-3,,research_report,201,1,00/08/10,,,Release 2000/08/10,U.S.
CIA-RDP96-00787R000200010003-8.txt,CIA-RDP96-00787R000200010003-8,,experiment_results,9190,18,00/08/10,,"PAGE|Je P.» Girard|de P.
Girard|PAGE 3|J.
P. Girard|J. Pe Girard|Cther|J. P.

Girard|J. Rauch|Be","CIA|Pechiney Uqine Kuhimann|J. Forvais|Pechiney Aluminum Research Center|Voreppe

PRTECEUCTION|tSee Sclences|CLENTIF|d. BP|Girard|Yearbook",Earis|Magician|demcnstraticns|opinicns|uS|diametar|Jt|B. Dukost|Pewee|BB
CIA-RDP96-00787R000200010004-7.txt,CIA-RDP96-00787R000200010004-7,,research_report,1551,3,00/08/10,,"Charles T. Tart

University of California|TO meng|FP","UIEY Poe

Association|the Level of Research Funding|Defense Intelligence Agency|DST-
18108-387-75|Czechoslovakian Parapsychology Research|parapsychologi
cal research|CIA|the Parapsychological
Association|Times|Tart",St. Louis|U.S.S.R.|U.S.A.|U.S.
CIA-RDP96-00787R000200010005-6.txt,CIA-RDP96-00787R000200010005-6,CONFIDENTIAL,experiment_results,3889,7,00/08/10|19 October 1974|18 October 1974,,"° °° °°»

~|Puthoff|Targ|Jones|enn sscmaey|RV TM|Completed|Completed f°|Subject Medical/ Sensory|Dr Armbruster",CIA|MEO|Researcht Sci|SG1I|ots|ORD|Cox|SRI|SGI|Nature,Washington|San Francisco|cards)(ID=10|RV|DC|P.R#t
CIA-RDP96-00787R000200010006-5.txt,CIA-RDP96-00787R000200010006-5,UNCLASSIFIED,telepathy,87,1,03/09/10,,Ue Slee,ADPTOVGE|YBDF|SG1I|ADDRESS|PHONE|CIA,
